job_id,user,partition,state,submit,start,end,elapsed,queuetime,alloccpus,cputime,cpueff,reqmem,maxrss,memeff,exitcode
105348,gw2965,nodes,COMPLETED,2026-08-05T14:22:22Z,2026-08-05T14:22:24Z,2026-08-05T14:22:26Z,2s,2.0s,6,3.2528s,27.1063%,0.0MB,0.0MB,0.0%,0
105349,gw2965,nodes,COMPLETED,2026-08-05T14:22:23Z,2026-08-05T14:22:24Z,2026-08-05T14:22:26Z,2s,1.0s,6,3.2541s,27.1173%,0.0MB,0.0MB,0.0%,0
105350,gw2965,nodes,COMPLETED,2026-08-05T14:22:24Z,2026-08-05T14:22:27Z,2026-08-05T14:22:29Z,2s,3.0s,6,3.1791s,26.4922%,0.0MB,0.0MB,0.0%,0
105351,gw2965,nodes,COMPLETED,2026-08-05T14:22:25Z,2026-08-05T14:22:27Z,2026-08-05T14:22:32Z,5s,2.0s,6,10.2417s,34.1389%,0.0MB,0.0MB,0.0%,0
105352,gw2965,nodes,COMPLETED,2026-08-05T14:22:26Z,2026-08-05T14:22:27Z,2026-08-05T14:22:31Z,4s,1.0s,6,9.2286s,38.4523%,0.0MB,0.0MB,0.0%,0
105353,gw2965,nodes,COMPLETED,2026-08-05T14:22:27Z,2026-08-05T14:22:30Z,2026-08-05T14:22:34Z,4s,3.0s,6,9.5127s,39.636%,0.0MB,0.0MB,0.0%,0
105354,gw2965,nodes,COMPLETED,2026-08-05T14:22:28Z,2026-08-05T14:22:30Z,2026-08-05T14:22:34Z,4s,2.0s,6,9.5817s,39.9236%,0.0MB,0.0MB,0.0%,0
105355,gw2965,nodes,COMPLETED,2026-08-05T14:22:29Z,2026-08-05T14:22:30Z,2026-08-05T14:22:35Z,5s,1.0s,6,10.1005s,33.6683%,0.0MB,0.0MB,0.0%,0
105356,gw2965,nodes,COMPLETED,2026-08-05T14:22:30Z,2026-08-05T14:22:33Z,2026-08-05T14:22:35Z,2s,3.0s,6,3.1818s,26.5151%,0.0MB,0.0MB,0.0%,0
105357,gw2965,nodes,COMPLETED,2026-08-05T14:22:31Z,2026-08-05T14:22:33Z,2026-08-05T14:22:37Z,4s,2.0s,6,9.019s,37.5791%,0.0MB,0.0MB,0.0%,0
105358,gw2965,nodes,COMPLETED,2026-08-05T14:22:32Z,2026-08-05T14:22:33Z,2026-08-05T14:22:35Z,2s,1.0s,6,3.2796s,27.3298%,0.0MB,0.0MB,0.0%,0
105359,gw2965,nodes,COMPLETED,2026-08-05T14:22:33Z,2026-08-05T14:22:36Z,2026-08-05T14:22:38Z,2s,3.0s,6,3.3415s,27.8455%,0.0MB,0.0MB,0.0%,0
105360,gw2965,nodes,COMPLETED,2026-08-05T14:22:34Z,2026-08-05T14:22:36Z,2026-08-05T14:22:38Z,2s,2.0s,6,3.3255s,27.7124%,0.0MB,0.0MB,0.0%,0
105361,gw2965,nodes,COMPLETED,2026-08-05T14:22:35Z,2026-08-05T14:22:36Z,2026-08-05T14:22:38Z,2s,1.0s,6,3.2349s,26.9573%,0.0MB,0.0MB,0.0%,0
105362,gw2965,nodes,COMPLETED,2026-08-05T14:22:36Z,2026-08-05T14:22:39Z,2026-08-05T14:22:44Z,5s,3.0s,6,10.3593s,34.5309%,0.0MB,0.0MB,0.0%,0
105363,gw2965,nodes,COMPLETED,2026-08-05T14:22:37Z,2026-08-05T14:22:39Z,2026-08-05T14:22:41Z,2s,2.0s,6,3.23s,26.9164%,0.0MB,0.0MB,0.0%,0
105364,gw2965,nodes,COMPLETED,2026-08-05T14:22:38Z,2026-08-05T14:22:39Z,2026-08-05T14:22:43Z,4s,1.0s,6,6.8092s,28.3715%,0.0MB,0.0MB,0.0%,0
105365,gw2965,nodes,COMPLETED,2026-08-05T14:22:39Z,2026-08-05T14:22:42Z,2026-08-05T14:22:46Z,4s,3.0s,6,7.6046s,31.6857%,0.0MB,0.0MB,0.0%,0
105366,gw2965,nodes,COMPLETED,2026-08-05T14:22:40Z,2026-08-05T14:22:42Z,2026-08-05T14:22:43Z,1s,2.0s,6,1.9795s,32.9911%,0.0MB,0.0MB,0.0%,0
105367,gw2965,nodes,COMPLETED,2026-08-05T14:22:41Z,2026-08-05T14:22:42Z,2026-08-05T14:22:43Z,1s,1.0s,6,1.9989s,33.3153%,0.0MB,0.0MB,0.0%,0
105368,gw2965,nodes,COMPLETED,2026-08-05T14:22:42Z,2026-08-05T14:22:45Z,2026-08-05T14:22:50Z,5s,3.0s,1,6.8008s,136.0163%,0.0MB,0.0MB,0.0%,0
105369,gw2965,nodes,COMPLETED,2026-08-05T14:22:43Z,2026-08-05T14:22:45Z,2026-08-05T14:22:47Z,2s,2.0s,6,2.518s,20.9831%,0.0MB,0.0MB,0.0%,0
105370,gw2965,nodes,COMPLETED,2026-08-05T14:22:44Z,2026-08-05T14:22:45Z,2026-08-05T14:22:47Z,2s,1.0s,6,2.4951s,20.7921%,0.0MB,0.0MB,0.0%,0
105371,gw2965,nodes,COMPLETED,2026-08-05T14:22:45Z,2026-08-05T14:22:48Z,2026-08-05T14:22:50Z,2s,3.0s,6,2.5796s,21.4971%,0.0MB,0.0MB,0.0%,0
105372,gw2965,nodes,COMPLETED,2026-08-05T14:22:46Z,2026-08-05T14:22:48Z,2026-08-05T14:22:50Z,2s,2.0s,6,2.6186s,21.8216%,0.0MB,0.0MB,0.0%,0
105373,gw2965,nodes,COMPLETED,2026-08-05T14:22:47Z,2026-08-05T14:22:48Z,2026-08-05T14:22:50Z,2s,1.0s,6,2.5496s,21.2468%,0.0MB,0.0MB,0.0%,0
105374,gw2965,nodes,COMPLETED,2026-08-05T14:22:48Z,2026-08-05T14:22:49Z,2026-08-05T14:22:50Z,1s,1.0s,6,2.4218s,40.3625%,0.0MB,0.0MB,0.0%,0
